"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Solyc07g065980.3",1257.59276804199,-3.36470130307648,0.254225074214767,-9.30160532111323,1.38340941876385e-20,3.15093986935411e-19
"Solyc01g103920.3",6357.74163433639,-8.42216197638302,0.798241030612697,-9.29814641410512,1.42915339845808e-20,3.25206412684914e-19
"Solyc01g097470.3",381.954643426166,-12.1436780381921,1.19989252161038,-9.28723017894641,1.58355507926122e-20,3.5966345907356e-19
"Solyc01g108340.3",10775.892209604,-2.29652299017331,0.139838782926682,-9.27155516544418,1.83451303444538e-20,4.14713208516437e-19
"Solyc09g063060.3",408.665652803143,-12.2411031167317,1.21639455556757,-9.24132968639164,2.43452753142292e-20,5.4881336123476e-19
"Solyc09g098150.3",5731.87016005145,-2.23931634857979,0.134617894582773,-9.2061783644801,3.37942669176001e-20,7.5687882699789e-19
"Solyc06g073970.2",9309.67653433403,-2.05499413435384,0.114933981706613,-9.17913152131878,4.34582128713806e-20,9.67936564285514e-19
"Solyc01g006820.2",7347.39275655505,-2.45770969320141,0.15944731973131,-9.14226526766237,6.11576056063265e-20,1.35466058394362e-18
"Solyc02g089930.3",1381.60312020495,-3.21150689955368,0.242201374812458,-9.13086022433234,6.7957135894589e-20,1.50251797440863e-18
"Solyc03g034400.3",417.631714963991,-10.5765449094506,1.04915451087563,-9.12786897466413,6.98608623824079e-20,1.54178776286143e-18
"Solyc02g084390.3",6063.54290917435,-3.27035931935028,0.249609426971787,-9.09564733549465,9.40246679945343e-20,2.06563647886902e-18
"Solyc08g079280.3",7656.948259911,-2.92784239824416,0.212575869305395,-9.06896161141669,1.20156611498132e-19,2.62778703480892e-18
"Solyc10g086580.2",29627.8919175015,-2.96897660574192,0.217277592974418,-9.06203248474749,1.28042052471459e-19,2.79770726946227e-18
"Solyc02g065770.3",21459.603309971,-2.8221398415035,0.201439615817696,-9.04558834719257,1.48861342530744e-19,3.24088576900717e-18
"Solyc05g050770.3",315.776276818815,-6.13966490494157,0.568406897446476,-9.04222824886735,1.53510146210216e-19,3.33308732553107e-18
"Solyc05g055845.1",158.497898103208,-7.68238141910543,0.739166767357128,-9.04042458916019,1.56064443953764e-19,3.38550570250148e-18
"Solyc12g042010.1",242.995836658261,-9.23326136002243,0.910861729910101,-9.03898043980289,1.58139850433527e-19,3.42745078527051e-18
"Solyc10g083570.2",21668.2983474598,-2.5222340680088,0.168480760391061,-9.0350617155071,1.63909914149195e-19,3.54614770396548e-18
"Solyc02g063360.3",782.79218213109,-5.49364465264945,0.497372073864141,-9.03477474667566,1.64340540373677e-19,3.55228398807716e-18
"Solyc01g096410.3",746.508644557052,-3.6614124400987,0.294684393712013,-9.03139934413908,1.69490363575515e-19,3.66032540318667e-18
"Solyc05g013630.1",184.102745813722,-5.35718453071486,0.485087403595086,-8.98226690370197,2.65244467293221e-19,5.68757568465659e-18
"Solyc01g087790.2",223.892517943481,-3.94411323492909,0.32787828306945,-8.97928709205019,2.72526806588817e-19,5.83854858867495e-18
"Solyc12g099200.2",1604.50346610184,-3.98048586466099,0.331955580363382,-8.97856834157854,2.74312719166409e-19,5.87160422619614e-18
"Solyc11g065350.2",11328.3580969677,-3.18259393143888,0.243097036062062,-8.97828277462695,2.75025486002349e-19,5.88165123427678e-18
"Solyc05g053070.3",3576.30418783588,-2.91737063326881,0.213904575059866,-8.96367285614246,3.14039707696312e-19,6.69822027907244e-18
"Solyc02g071100.3",186.37861324444,-4.62635494948347,0.404759809324422,-8.95927625703787,3.26816397399395e-19,6.95845379696369e-18
"Solyc01g107900.3",1348.12977417345,-2.70642883732148,0.190651630504379,-8.95050744023031,3.53851926484645e-19,7.51422289580662e-18
"Solyc01g110570.3",1107.00177075311,-3.80227002509172,0.313139937125449,-8.94893845485154,3.58917195102386e-19,7.61509476456915e-18
"Solyc07g063170.1",1097.01139287796,-3.98066767921719,0.333318279107281,-8.94240690069637,3.80784571770902e-19,8.06489041316005e-18
"Solyc08g005420.3",830.417132360088,-3.03275029088935,0.227476821987592,-8.9360765335478,4.03232741253233e-19,8.53285676455834e-18
"Solyc07g064900.3",2535.7102878922,-2.31276594494805,0.146948499045582,-8.93351040312997,4.12700515804075e-19,8.72556488619534e-18
