"","ProbeName","GeneName","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"5725","A_96_P231209","Solyc06g060260.3.1",-0.774456383020874,11.4983709392375,-4.80809263801755,0.00121453803416047,0.0168111836638236,-0.904435116322443
"1522","A_96_P095684","Solyc01g006980.4.1",-0.686946089059438,10.563388857217,-4.80760893396723,0.00121530848569725,0.0168111836638236,-0.905101490661641
"8874","A_96_P245555","Solyc03g044300.3.1",1.03446451140812,10.3400108545211,4.80658583198295,0.00121693984588225,0.0168216306990203,-0.906511080381399
"44761","A_96_P248392","Solyc04g051800.3.1",-1.05448898271703,10.8978916091214,-4.80578317574453,0.00121822136278113,0.0168272303348185,-0.907617057382848
"20800","A_96_P205839","Solyc04g077020.3.1",1.17625452696498,14.0026400059112,4.85873219507698,0.00125838181051946,0.0173072569928178,-0.911362199143938
"4690","A_96_P099504","Solyc02g083460.3.1",-1.07832549315715,10.4263459629144,-4.80205592002749,0.00122419149045743,0.0168975389049479,-0.912754082074022
"32931","A_96_P056566","Solyc08g082190.3.1",1.85064639346613,11.752346026925,4.86935249026938,0.00127486001725485,0.0174588533033474,-0.917057624634481
"10064","A_96_P189974","Solyc10g086650.1.1",-0.785626678836423,9.43966575394628,-4.79053200834576,0.00124285150354143,0.0171427793591922,-0.928649752521828
"23168","A_96_P261457","Solyc03g122350.3.1",-1.54056203899146,13.222157920188,-4.85854810865112,0.00129233159791515,0.0176227036079339,-0.931421899218565
"28484","A_96_P250322","Solyc03g114830.3.1",-1.86046667098012,6.92623083271095,-4.84269504385034,0.00128512919571505,0.0175499280128312,-0.933338379204865
"35318","A_96_P157641","Solyc03g118430.3.1",-0.752543664131462,10.596212802769,-4.78615620635529,0.00125001759470727,0.0172292446650248,-0.934690738377649
"38353","A_96_P096784","Solyc02g083180.4.1",-0.775190947478318,9.65890113442586,-4.78370702257189,0.0012540480803329,0.0172723982370099,-0.938073183434648
"22587","A_96_P184889","Solyc12g094450.3.1",0.885753315898243,11.8869991400508,4.78125107861699,0.00125810384437417,0.0173072569928178,-0.941465858045472
"34177","A_96_P068291","Solyc04g007340.4.1",0.968134767140225,6.75122789835921,4.77946538298472,0.00126106168460143,0.017331699602253,-0.9439332041282
"14979","A_96_P091584","Solyc03g025720.3.1",1.86957442493727,12.8820035658136,4.84781084102711,0.00130995375836752,0.0177245328827741,-0.945714244714741
"5703","A_96_P046976","Solyc04g015030.4.1",-3.04113313536383,6.29496348144404,-4.8457945820448,0.00131329201417303,0.0177446915356243,-0.948400004207818
"33819","A_96_P260072","Solyc08g079180.3.1",-0.772680052703931,10.7886920316525,-4.77580695370669,0.00126714510978601,0.0174028512931984,-0.948989636000244
"22613","A_96_P243244","Solyc08g079070.2.1",-0.8264567058461,10.928634830554,-4.77521049359635,0.00126813994759865,0.0174040650420972,-0.949814210722563
"3872","A_96_P146011","Solyc01g097840.3.1",-1.00369029013051,6.83063159071095,-4.77405874362463,0.00127006335236391,0.0174180116895622,-0.951406593741295
"739","A_96_P211099","Solyc03g025700.2.1",-0.819824337195628,7.24738210134946,-4.77344435517892,0.0012710906650245,0.017419657936096,-0.952256113518853
"8174","A_96_P027606","Solyc07g007220.3.1",1.07973548246686,7.34473633226302,4.76762604065493,0.00128086419398138,0.0175285762825677,-0.960303917605083
"17646","A_96_P030006","Solyc01g088090.3.1",-0.49597514631909,11.7661933638254,-4.76526245138988,0.0012848577641797,0.0175499280128312,-0.963574631672986
"18283","A_96_P170364","Solyc06g035720.3.1",1.3668691397862,6.17035944442829,4.76604831930049,0.00128608066219029,0.0175499280128312,-0.963973285992501
"12303","A_96_P155836","Solyc02g083180.4.1",-0.772547243676288,9.83056073112577,-4.76494896138906,0.00128538845655592,0.0175499280128312,-0.964008498579786
"27863","A_96_P202139","Solyc04g079060.3.1",1.73605115283895,8.07700384345233,4.80985204935673,0.00132022035075274,0.0178112549941831,-0.966297089323511
"31555","A_96_P059261","Solyc01g087610.3.1",-0.72112069510304,9.39113029836124,-4.75938732919909,0.00129484308928084,0.0176331915600513,-0.971708161114825
"16000","A_96_P079079","Solyc06g071200.3.1",-0.690788421112524,10.7203718940001,-4.75910439195308,0.00129532608621485,0.0176331915600513,-0.972099989034766
