Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_tags_kb	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_tags_kb	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb-10kb_total_bases	tss_up_1kb-5kb_total_bases	tss_up_5kb-10kb_tag_count	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_total_bases	tes_down_1kb-5kb_total_bases	tes_down_5kb-10kb_tag_count	tes_down_1kb-5kb_tag_count
RSeQC_Nobt6DPA3	105756964	128492600	112723479	31904299	91403812	2864.94	0	0	0.0	0	0	0.0	58264277	2646941	45.43	27265610	2440353	89.5	35.36	25.67	26087302	8268340	316.95	109.08	68.71	15769121	71.1354677234331	0.0	0.0	2.05999489464763	1.8992167642338935	3.2997635661508915	4.251691537100191	6.434876405333847	9.06324177423447	10.280449613440775	12.272396231378305	92924724	92637966	1223157	1799599	85489372	80674326	1564022	3377255
RSeQC_NobtPre1	98554050	118547165	99523818	31904299	76190586	2388.1	0	0	0.0	0	0	0.0	58264277	2907701	49.91	27265610	3936898	144.39	48.29	35.17	26087302	7484055	286.88	102.19	67.31	19023347	64.2702725113671	0.0	0.0	2.452779870357929	3.320954997110222	4.884438189643759	6.3145322791987475	6.313145489392344	9.20265195713453	10.9153449599575	16.047070379118725	92924724	92637966	1695336	1853465	85489372	80674326	2030349	3425428
RSeQC_NobtPre2	113231331	138033081	120063888	31904299	92866103	2910.77	0	0	0.0	0	0	0.0	58264277	3209732	55.09	27265610	4358851	159.87	54.2	38.81	26087302	9356578	358.66	123.55	81.81	17969193	67.27814979367156	0.0	0.0	2.3253353303039	3.1578306942232204	4.7085060718162195	5.983590991495727	6.7785040601969895	9.556327298091679	11.3948901857809	13.01803369874791	92924724	92637966	1760039	2140445	85489372	80674326	2537825	3834315
RSeQC_NobtPre3	113426795	137581510	119070120	31904299	91938218	2881.69	0	0	0.0	0	0	0.0	58264277	3256462	55.89	27265610	4517263	165.68	55.54	38.95	26087302	9057235	347.19	122.22	81.07	18511390	66.8245449552051	0.0	0.0	2.366932882187439	3.2833358203438823	4.840782020781717	6.025632368768158	6.583177492382515	9.484193769933183	11.328036739820636	13.454853054018667	92924724	92637966	1630135	2142758	85489372	80674326	2536787	3991262
RSeQC_Nobtbr1	17071867	20853072	18480962	31904299	14767654	462.87	0	0	0.0	0	0	0.0	58264277	568251	9.75	27265610	137807	5.05	3.04	2.68	26087302	1773824	68.0	21.7	13.39	2372110	70.81764259961314	0.0	0.0	2.7250229606457985	0.6608474760936902	1.749382537019006	2.737241783848442	8.506295858950661	11.110199974373081	12.344742299839563	11.375350356053056	92924724	92637966	205999	226993	85489372	80674326	257440	542994
RSeQC_Nobtbr1.1	9595610	11738399	10422724	31904299	8370846	262.37	0	0	0.0	0	0	0.0	58264277	310459	5.33	27265610	74033	2.72	1.67	1.48	26087302	978836	37.52	12.0	7.42	1315675	71.31164991069055	0.0	0.0	2.644815532339632	0.6306907781887462	1.704832149597232	2.686022173892709	8.33875215862061	10.914393010494873	12.14921217109761	11.208300211979504	92924724	92637966	115176	126087	85489372	80674326	144948	302339
RSeQC_Nobtbr2	58524882	71533529	63156095	31904299	49988682	1566.83	0	0	0.0	0	0	0.0	58264277	2260287	38.79	27265610	503304	18.46	11.14	9.85	26087302	5963408	228.59	73.72	45.83	8377434	69.88147054788811	0.0	0.0	3.1597588314145666	0.703591738078517	1.86738864791642	2.931173715755027	8.3365214653397	11.00205611273561	12.316397811157898	11.711199093784398	92924724	92637966	760963	832505	85489372	80674326	940195	1906751
RSeQC_Nobtbr2.1	32182154	39398189	34858148	31904299	27743808	869.59	0	0	0.0	0	0	0.0	58264277	1207087	20.72	27265610	265193	9.73	5.98	5.33	26087302	3218339	123.37	39.89	24.83	4540041	70.4189931166633	0.0	0.0	3.0638134153831285	0.6731096193279341	1.820865420996889	2.8778302474766035	8.168748568620755	10.810032410372974	12.11588684951991	11.52347637095705	92924724	92637966	416425	452195	85489372	80674326	514483	1040618
RSeQC_Nobtbr3	22664576	27769126	24661305	31904299	19794257	620.43	0	0	0.0	0	0	0.0	58264277	623805	10.71	27265610	172935	6.34	4.22	3.71	26087302	2382454	91.33	29.06	17.97	3107821	71.28152682947243	0.0	0.0	2.2463976720045133	0.6227599673104584	1.8236692073059846	2.8427110021395703	8.579506607445982	11.173254066404539	12.43772310298855	11.191641393394953	92924724	92637966	282979	333482	85489372	80674326	351132	720261
RSeQC_Nobtbr3.1	12844885	15761525	14022044	31904299	11310879	354.53	0	0	0.0	0	0	0.0	58264277	344234	5.91	27265610	93813	3.44	2.36	2.08	26087302	1319920	50.6	16.17	10.01	1739481	71.76259276941794	0.0	0.0	2.1840145544292193	0.5952025581281	1.7934178323480754	2.8103816096475436	8.374316571524647	10.95031730749404	12.20676298771851	11.036248078786793	92924724	92637966	160289	188857	85489372	80674326	198035	406017
