Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
Nobtbr1	17490045.0	75.0	16161964.0	92.41	75.01	3488380.0	2971728.0	3451238.0	28605.0	860.0	7677.0	0.52	0.02	1.71	0.01	1.6	909903.0	5.2	44448.0	0.25	0.0	2.01	0.13	0	351027	22703
Nobtbr1.1	9828444.0	75.0	9081580.0	92.4	75.07	1979037.0	1685872.0	1957858.0	16201.0	476.0	4502.0	0.45	0.02	1.7	0.01	1.6	514030.0	5.23	25053.0	0.25	0.0	1.94	0.17	0	191040	16741
Nobtbr2	59693871.0	75.0	55855259.0	93.57	74.98	11974675.0	10147954.0	11844390.0	99023.0	2837.0	28425.0	0.5	0.02	1.7	0.01	1.6	2669623.0	4.47	119310.0	0.2	0.0	1.46	0.29	0	875732	173947
Nobtbr2.1	32779297.0	75.0	30716967.0	93.71	75.04	6651576.0	5636974.0	6578082.0	55853.0	1597.0	16044.0	0.44	0.02	1.7	0.01	1.6	1465187.0	4.47	62281.0	0.19	0.0	1.23	0.4	0	403608	131254
Nobtbr3	22992886.0	75.0	21461672.0	93.34	75.01	4723174.0	4029436.0	4670810.0	40545.0	1101.0	10718.0	0.51	0.02	1.69	0.01	1.58	1202904.0	5.23	60895.0	0.26	0.0	1.06	0.11	0	242273	25142
Nobtbr3.1	13016665.0	75.0	12160794.0	93.42	75.08	2701763.0	2305719.0	2671630.0	23305.0	574.0	6254.0	0.44	0.02	1.69	0.01	1.59	684091.0	5.26	33948.0	0.26	0.0	0.92	0.14	0	119628	18204
SP15DPA1	93064029.0	150.0	88769896.0	95.39	149.56	40039930.0	38467380.0	39542301.0	391407.0	15595.0	90627.0	0.48	0.02	1.75	0.02	1.82	2011487.0	2.16	20577.0	0.02	0.0	1.93	0.5	0	1796623	465446
SP15DPA2	49923582.0	150.0	47612081.0	95.37	149.47	21605057.0	20708308.0	21313684.0	235892.0	8101.0	47380.0	0.6	0.02	1.82	0.02	1.81	1142030.0	2.29	11781.0	0.02	0.0	1.98	0.34	0	988029	169661
SP15DPA3	4180927.0	150.0	4002281.0	95.73	149.47	1812749.0	1742206.0	1790648.0	17640.0	652.0	3809.0	0.61	0.02	1.82	0.02	1.84	89552.0	2.14	720.0	0.02	0.0	1.9	0.21	0	79578	8796
SP1DPA1	42772752.0	150.0	37494648.0	87.66	149.54	15303542.0	14568749.0	15123745.0	138300.0	5694.0	35803.0	0.49	0.02	1.77	0.02	1.67	1577882.0	3.69	68323.0	0.16	0.0	3.66	4.83	0	1565695	2066204
SP1DPA2	44212937.0	150.0	38470400.0	87.01	149.56	15690744.0	14938946.0	15506585.0	142589.0	5736.0	35834.0	0.49	0.02	1.77	0.02	1.66	1679127.0	3.8	82683.0	0.19	0.0	3.83	5.17	0	1694020	2286707
SP1DPA3	39096482.0	150.0	34475728.0	88.18	149.3	14415049.0	13774483.0	14252016.0	126587.0	5502.0	30944.0	0.7	0.02	1.76	0.02	1.67	1426870.0	3.65	79338.0	0.2	0.0	4.45	3.52	0	1738987	1375559
SP3DPA1	43919558.0	150.0	38638490.0	87.98	149.3	14702230.0	14026360.0	14531362.0	127600.0	5687.0	37581.0	0.65	0.03	1.79	0.02	1.69	1446805.0	3.29	85514.0	0.19	0.0	4.62	3.91	0	2030389	1718360
SP3DPA2	46071023.0	150.0	42134675.0	91.46	149.54	17571598.0	16785778.0	17375031.0	148217.0	7044.0	41306.0	0.48	0.02	1.77	0.02	1.75	1399806.0	3.04	38905.0	0.08	0.0	2.89	2.53	0	1331766	1165871
SP3DPA3	102390328.0	150.0	90782119.0	88.66	149.3	35452019.0	33749753.0	35034154.0	295976.0	15131.0	106758.0	0.52	0.03	1.79	0.02	1.82	2959229.0	2.89	151686.0	0.15	0.0	4.23	4.07	0	4330549	4166745
SPbreaker1	48389613.0	150.0	46399748.0	95.89	149.67	22861009.0	21868768.0	22596407.0	209645.0	7008.0	47949.0	0.45	0.02	1.79	0.02	1.82	975267.0	2.02	15810.0	0.03	0.0	1.67	0.39	0	809697	189091
